frequency_hz,spl_db,phase_deg,thd_percent,rt60_ms,c50_db,c80_db,group_delay_ms
20.000000,-27.614,-125.922653,0.004805,1.581,-1.034,-0.940,0.000000
20.069233,-28.920,-117.249794,0.005584,1.581,-1.034,-0.940,0.000000
20.138704,-29.036,-119.696655,0.005658,1.581,-1.034,-0.940,0.000000
20.208418,-29.171,-109.118690,0.005746,1.581,-1.034,-0.940,0.000000
20.278366,-28.502,-95.990517,0.005319,1.581,-1.034,-0.940,0.000000
20.348562,-29.450,-95.481735,0.005932,1.581,-1.034,-0.940,0.000000
20.419001,-30.030,-98.584274,0.006340,1.581,-1.034,-0.940,0.000000
20.489683,-30.879,-83.958572,0.006990,1.581,-1.034,-0.940,0.000000
20.560612,-31.142,-85.561821,0.007205,1.581,-1.034,-0.940,0.000000
20.631784,-30.962,-63.515759,0.007057,1.581,-1.034,-0.940,0.000000
20.703203,-30.286,-73.041954,0.006529,1.581,-1.034,-0.940,0.000000
20.774866,-28.977,-44.738434,0.005615,1.581,-1.034,-0.940,0.000000
20.846781,-29.084,-89.820671,0.005685,1.581,-1.034,-0.940,0.000000
20.918943,-28.974,-28.118019,0.005613,1.581,-1.034,-0.940,0.000000
20.991358,-27.813,17.487783,0.004911,1.581,-1.034,-0.940,0.000000
21.064020,-27.944,85.338028,0.004985,1.581,-1.034,-0.940,0.000000
21.136936,-28.333,67.584793,0.005214,1.581,-1.034,-0.940,0.000000
21.210104,-26.761,74.084473,0.004351,1.581,-1.034,-0.940,0.000000
21.283520,-26.094,78.195564,0.004029,1.581,-1.034,-0.940,0.000000
21.357197,-26.240,73.823196,0.004097,1.581,-1.034,-0.940,0.000000
21.431126,-25.874,89.511749,0.003929,1.581,-1.034,-0.940,0.000000
21.505312,-25.960,92.132172,0.003968,1.581,-1.034,-0.940,0.000000
21.579756,-25.846,96.119423,0.003916,1.581,-1.034,-0.940,0.000000
21.654457,-25.325,89.027283,0.003688,1.581,-1.034,-0.940,0.000000
21.729416,-25.007,88.732048,0.003555,1.581,-1.034,-0.940,0.000000
21.804630,-26.402,97.900299,0.004175,1.581,-1.034,-0.940,0.000000
21.880110,-25.544,102.243126,0.003782,1.581,-1.034,-0.940,0.000000
21.955851,-25.258,106.547508,0.003659,1.581,-1.034,-0.940,0.000000
22.031853,-26.679,98.334373,0.004309,1.581,-1.034,-0.940,0.000000
22.108118,-26.583,105.863930,0.004260,1.581,-1.034,-0.940,0.000000
22.184649,-25.935,113.273003,0.003954,1.581,-1.034,-0.940,0.000000
22.261442,-26.133,108.738403,0.004044,1.581,-1.034,-0.940,0.000000
22.338503,-25.026,113.318695,0.003559,1.581,-1.034,-0.940,0.000000
22.415825,-24.629,106.842735,0.003400,1.581,-1.034,-0.940,0.000000
22.493420,-24.722,116.957558,0.003437,1.581,-1.034,-0.940,0.000000
22.571283,-23.336,106.785347,0.002930,1.581,-1.034,-0.940,0.000000
22.649418,-23.336,106.785347,0.002930,1.581,-1.034,-0.940,0.000000
22.727821,-23.468,108.957382,0.002975,1.581,-1.034,-0.940,0.000000
22.806496,-22.767,110.344009,0.002744,1.581,-1.034,-0.940,0.000000
22.885437,-22.376,123.316071,0.002623,1.581,-1.034,-0.940,0.000000
22.964659,-21.401,121.426949,0.002345,1.581,-1.034,-0.940,0.000000
23.044153,-20.602,119.085739,0.002139,1.581,-1.034,-0.940,0.000000
23.123922,-20.397,121.287117,0.002089,1.581,-1.034,-0.940,0.000000
23.203970,-20.598,112.684570,0.002138,1.581,-1.034,-0.940,0.000000
23.284292,-20.565,118.663177,0.002129,1.581,-1.034,-0.940,0.000000
23.364893,-20.291,115.153297,0.002063,1.581,-1.034,-0.940,0.000000
23.445774,-19.939,118.013351,0.001981,1.581,-1.034,-0.940,0.000000
23.526928,-19.423,112.321304,0.001867,1.581,-1.034,-0.940,0.000000
23.608370,-18.664,112.720734,0.001711,1.581,-1.034,-0.940,0.000000
23.690092,-18.109,103.345917,0.001605,1.581,-1.034,-0.940,0.000000
23.772099,-17.977,102.755318,0.001581,1.581,-1.034,-0.940,0.000000
23.854389,-18.120,101.232758,0.001607,1.581,-1.034,-0.940,0.000000
23.936964,-17.451,104.006157,0.001488,1.581,-1.034,-0.940,0.000000
24.019825,-16.981,102.428734,0.001409,1.581,-1.034,-0.940,0.000000
24.102966,-16.297,104.272354,0.001303,1.581,-1.034,-0.940,0.000000
24.186401,-15.696,102.316772,0.001215,1.581,-1.034,-0.940,0.000000
24.270124,-15.515,101.567726,0.001190,1.581,-1.034,-0.940,0.000000
24.354139,-15.252,101.737793,0.001155,1.581,-1.034,-0.940,0.000000
24.438444,-15.073,102.676361,0.001131,1.581,-1.034,-0.940,0.000000
24.523041,-14.607,107.110489,0.001071,1.581,-1.034,-0.940,0.000000
24.607929,-14.538,106.107033,0.001063,1.581,-1.034,-0.940,0.000000
24.693108,-14.321,108.133522,0.001036,1.581,-1.034,-0.940,0.000000
24.778585,-13.967,106.530228,0.000995,1.581,-1.034,-0.940,0.000000
24.864359,-14.137,107.751358,0.001015,1.581,-1.034,-0.940,0.000000
24.950430,-13.951,106.417732,0.000993,1.581,-1.034,-0.940,0.000000
25.036798,-14.135,108.319595,0.001015,1.581,-1.034,-0.940,0.000000
25.123466,-14.014,106.642670,0.001001,1.581,-1.034,-0.940,0.000000
25.210434,-14.178,106.552719,0.001020,1.581,-1.034,-0.940,0.000000
25.297697,-14.167,107.518936,0.001018,1.581,-1.034,-0.940,0.000000
25.385267,-13.907,106.180077,0.000988,1.581,-1.034,-0.940,0.000000
25.473143,-13.676,105.755478,0.000962,1.581,-1.034,-0.940,0.000000
25.561321,-13.471,103.842621,0.000940,1.581,-1.034,-0.940,0.000000
25.649803,-13.406,102.308525,0.000933,1.581,-1.034,-0.940,0.000000
25.738594,-13.162,103.022041,0.000907,1.581,-1.034,-0.940,0.000000
25.827690,-12.869,103.121567,0.000877,1.581,-1.034,-0.940,0.000000
25.917089,-12.405,102.312149,0.000831,1.581,-1.034,-0.940,0.000000
26.006805,-12.201,102.584488,0.000812,1.581,-1.034,-0.940,0.000000
26.096830,-12.064,102.320732,0.000799,1.581,-1.034,-0.940,0.000000
26.187168,-11.590,101.501221,0.000756,1.581,-1.034,-0.940,0.000000
26.277819,-11.540,99.903770,0.000752,1.581,-1.034,-0.940,0.000000
26.368782,-11.497,99.208565,0.000748,1.581,-1.034,-0.940,0.000000
26.460054,-11.439,100.268707,0.000743,1.581,-1.034,-0.940,0.000000
26.551649,-11.186,100.613441,0.000722,1.581,-1.034,-0.940,0.000000
26.643560,-10.846,101.388596,0.000694,1.581,-1.034,-0.940,0.000000
26.735790,-10.534,100.162766,0.000670,1.581,-1.034,-0.940,0.000000
26.828339,-10.315,99.486755,0.000653,1.581,-1.034,-0.940,0.000000
26.921207,-10.201,99.310905,0.000644,1.581,-1.034,-0.940,0.000000
27.014399,-10.067,99.729645,0.000634,1.581,-1.034,-0.940,0.000000
27.107912,-9.776,100.744942,0.000614,1.581,-1.034,-0.940,0.000000
27.201744,-9.685,101.696220,0.000607,1.581,-1.034,-0.940,0.000000
27.295906,-9.151,103.368065,0.000571,1.581,-1.034,-0.940,0.000000
27.390394,-8.847,103.008537,0.000551,1.581,-1.034,-0.940,0.000000
27.485209,-8.567,102.974297,0.000534,1.581,-1.034,-0.940,0.000000
27.580351,-8.339,103.285942,0.000520,1.581,-1.034,-0.940,0.000000
27.675825,-8.037,103.180054,0.000502,1.581,-1.034,-0.940,0.000000
27.771622,-7.749,103.393250,0.000486,1.581,-1.034,-0.940,0.000000
27.867756,-7.263,103.911903,0.000459,1.581,-1.034,-0.940,0.000000
27.964224,-6.836,102.779877,0.000437,1.581,-1.034,-0.940,0.000000
28.061024,-6.587,101.903343,0.000425,1.581,-1.034,-0.940,0.000000
28.158161,-5.982,101.652054,0.000396,1.581,-1.034,-0.940,0.000000
28.255634,-5.786,100.240555,0.000388,1.581,-1.034,-0.940,0.000000
28.353443,-5.463,100.889000,0.000373,1.581,-1.034,-0.940,0.000000
28.451593,-5.136,100.046066,0.000360,1.581,-1.034,-0.940,0.000000
28.550081,-4.874,99.423286,0.000349,1.581,-1.034,-0.940,0.000000
28.648903,-4.628,99.368340,0.000339,1.581,-1.034,-0.940,0.000000
28.748075,-4.287,98.949280,0.000326,1.581,-1.034,-0.940,0.000000
28.847589,-4.032,98.608086,0.000316,1.581,-1.034,-0.940,0.000000
28.947449,-3.686,98.343269,0.000304,1.581,-1.034,-0.940,0.000000
29.047655,-3.351,97.992210,0.000292,1.581,-1.034,-0.940,0.000000
29.148207,-2.826,96.498024,0.000275,1.581,-1.034,-0.940,0.000000
29.249100,-2.549,95.577011,0.000267,1.581,-1.034,-0.940,0.000000
29.350348,-2.197,94.875694,0.000256,1.581,-1.034,-0.940,0.000000
29.451948,-1.676,93.783806,0.000241,1.581,-1.034,-0.940,0.000000
29.553900,-1.269,92.173927,0.000230,1.581,-1.034,-0.940,0.000000
29.656204,-0.912,90.889381,0.000221,1.581,-1.034,-0.940,0.000000
29.758862,-0.571,89.253349,0.000212,1.581,-1.034,-0.940,0.000000
29.861876,-0.209,87.559937,0.000204,1.581,-1.034,-0.940,0.000000
29.965246,0.196,84.893402,0.000194,1.581,-1.034,-0.940,0.000000
