frequency_hz,spl_db,phase_deg,thd_percent,rt60_ms,c50_db,c80_db,group_delay_ms
20.000000,-34.307,-127.793762,0.010396,0.839,-0.451,-0.352,0.000000
20.069233,-34.511,-124.780190,0.010645,0.839,-0.451,-0.352,0.000000
20.138704,-34.810,-116.513489,0.011020,0.839,-0.451,-0.352,0.000000
20.208418,-35.383,-117.112556,0.011774,0.839,-0.451,-0.352,0.000000
20.278366,-35.718,-108.853294,0.012238,0.839,-0.451,-0.352,0.000000
20.348562,-35.672,-101.171425,0.012175,0.839,-0.451,-0.352,0.000000
20.419001,-36.152,-95.271820,0.012869,0.839,-0.451,-0.352,0.000000
20.489683,-36.934,-82.572815,0.014084,0.839,-0.451,-0.352,0.000000
20.560612,-36.307,-74.829086,0.013103,0.839,-0.451,-0.352,0.000000
20.631784,-35.705,-66.181839,0.012226,0.839,-0.451,-0.352,0.000000
20.703203,-35.569,-62.975197,0.012036,0.839,-0.451,-0.352,0.000000
20.774866,-34.545,-55.251381,0.010697,0.839,-0.451,-0.352,0.000000
20.846781,-34.352,-43.109283,0.010463,0.839,-0.451,-0.352,0.000000
20.918943,-34.013,-45.930828,0.010063,0.839,-0.451,-0.352,0.000000
20.991358,-33.488,-44.621681,0.009474,0.839,-0.451,-0.352,0.000000
21.064020,-32.959,-36.303490,0.008915,0.839,-0.451,-0.352,0.000000
21.136936,-33.053,-26.917715,0.009014,0.839,-0.451,-0.352,0.000000
21.210104,-31.542,-19.704865,0.007576,0.839,-0.451,-0.352,0.000000
21.283520,-31.023,-15.489801,0.007138,0.839,-0.451,-0.352,0.000000
21.357197,-30.268,-14.738028,0.006545,0.839,-0.451,-0.352,0.000000
21.431126,-30.042,-15.055742,0.006377,0.839,-0.451,-0.352,0.000000
21.505312,-29.142,-11.164248,0.005750,0.839,-0.451,-0.352,0.000000
21.579756,-28.899,-9.029043,0.005591,0.839,-0.451,-0.352,0.000000
21.654457,-28.579,-9.923892,0.005389,0.839,-0.451,-0.352,0.000000
21.729416,-28.143,-9.598247,0.005125,0.839,-0.451,-0.352,0.000000
21.804630,-27.763,-7.097439,0.004905,0.839,-0.451,-0.352,0.000000
21.880110,-27.380,-6.805718,0.004694,0.839,-0.451,-0.352,0.000000
21.955851,-26.407,-7.453235,0.004197,0.839,-0.451,-0.352,0.000000
22.031853,-26.139,-8.902336,0.004070,0.839,-0.451,-0.352,0.000000
22.108118,-26.175,-8.887275,0.004088,0.839,-0.451,-0.352,0.000000
22.184649,-25.646,-8.358995,0.003847,0.839,-0.451,-0.352,0.000000
22.261442,-25.173,-6.048320,0.003644,0.839,-0.451,-0.352,0.000000
22.338503,-24.643,-6.089148,0.003429,0.839,-0.451,-0.352,0.000000
22.415825,-24.169,-5.101510,0.003247,0.839,-0.451,-0.352,0.000000
22.493420,-23.847,-4.486614,0.003129,0.839,-0.451,-0.352,0.000000
22.571283,-23.503,-2.498207,0.003008,0.839,-0.451,-0.352,0.000000
22.649418,-23.501,-2.498207,0.003008,0.839,-0.451,-0.352,0.000000
22.727821,-22.826,-1.207093,0.002784,0.839,-0.451,-0.352,0.000000
22.806496,-22.682,-1.498842,0.002738,0.839,-0.451,-0.352,0.000000
22.885437,-22.165,0.709397,0.002580,0.839,-0.451,-0.352,0.000000
22.964659,-21.739,1.599382,0.002457,0.839,-0.451,-0.352,0.000000
23.044153,-21.196,2.153716,0.002309,0.839,-0.451,-0.352,0.000000
23.123922,-20.915,2.104876,0.002236,0.839,-0.451,-0.352,0.000000
23.203970,-20.536,2.966457,0.002141,0.839,-0.451,-0.352,0.000000
23.284292,-20.072,3.174323,0.002030,0.839,-0.451,-0.352,0.000000
23.364893,-19.845,3.700277,0.001978,0.839,-0.451,-0.352,0.000000
23.445774,-19.378,3.458829,0.001874,0.839,-0.451,-0.352,0.000000
23.526928,-19.048,3.642413,0.001805,0.839,-0.451,-0.352,0.000000
23.608370,-18.482,3.215865,0.001691,0.839,-0.451,-0.352,0.000000
23.690092,-18.181,1.720443,0.001633,0.839,-0.451,-0.352,0.000000
23.772099,-18.042,1.357342,0.001608,0.839,-0.451,-0.352,0.000000
23.854389,-17.860,0.821223,0.001574,0.839,-0.451,-0.352,0.000000
23.936964,-17.586,0.759486,0.001525,0.839,-0.451,-0.352,0.000000
24.019825,-17.260,0.564069,0.001469,0.839,-0.451,-0.352,0.000000
24.102966,-17.004,0.497756,0.001426,0.839,-0.451,-0.352,0.000000
24.186401,-16.526,0.537887,0.001350,0.839,-0.451,-0.352,0.000000
24.270124,-16.343,0.199559,0.001322,0.839,-0.451,-0.352,0.000000
24.354139,-16.017,-0.811036,0.001274,0.839,-0.451,-0.352,0.000000
24.438444,-15.656,-1.235304,0.001222,0.839,-0.451,-0.352,0.000000
24.523041,-15.291,-1.572416,0.001172,0.839,-0.451,-0.352,0.000000
24.607929,-15.104,-1.998347,0.001147,0.839,-0.451,-0.352,0.000000
24.693108,-14.797,-2.098983,0.001108,0.839,-0.451,-0.352,0.000000
24.778585,-14.407,-2.462342,0.001059,0.839,-0.451,-0.352,0.000000
24.864359,-14.092,-3.016820,0.001022,0.839,-0.451,-0.352,0.000000
24.950430,-13.813,-3.173669,0.000990,0.839,-0.451,-0.352,0.000000
25.036798,-13.483,-3.962880,0.000953,0.839,-0.451,-0.352,0.000000
25.123466,-13.293,-3.923058,0.000932,0.839,-0.451,-0.352,0.000000
25.210434,-12.979,-4.028072,0.000899,0.839,-0.451,-0.352,0.000000
25.297697,-12.691,-4.355593,0.000870,0.839,-0.451,-0.352,0.000000
25.385267,-12.430,-4.344854,0.000845,0.839,-0.451,-0.352,0.000000
25.473143,-12.089,-4.657356,0.000812,0.839,-0.451,-0.352,0.000000
25.561321,-11.774,-5.155691,0.000783,0.839,-0.451,-0.352,0.000000
25.649803,-11.483,-5.630877,0.000758,0.839,-0.451,-0.352,0.000000
25.738594,-11.156,-6.280560,0.000730,0.839,-0.451,-0.352,0.000000
25.827690,-10.885,-7.285714,0.000708,0.839,-0.451,-0.352,0.000000
25.917089,-10.684,-7.775182,0.000692,0.839,-0.451,-0.352,0.000000
26.006805,-10.571,-7.968472,0.000683,0.839,-0.451,-0.352,0.000000
26.096830,-10.383,-9.018487,0.000668,0.839,-0.451,-0.352,0.000000
26.187168,-10.182,-9.519602,0.000653,0.839,-0.451,-0.352,0.000000
26.277819,-10.040,-10.049709,0.000643,0.839,-0.451,-0.352,0.000000
26.368782,-9.854,-10.865685,0.000629,0.839,-0.451,-0.352,0.000000
26.460054,-9.773,-11.059766,0.000623,0.839,-0.451,-0.352,0.000000
26.551649,-9.640,-11.248935,0.000614,0.839,-0.451,-0.352,0.000000
26.643560,-9.427,-11.162210,0.000599,0.839,-0.451,-0.352,0.000000
26.735790,-9.290,-11.331518,0.000590,0.839,-0.451,-0.352,0.000000
26.828339,-9.070,-10.998381,0.000575,0.839,-0.451,-0.352,0.000000
26.921207,-8.812,-10.765153,0.000558,0.839,-0.451,-0.352,0.000000
27.014399,-8.570,-10.744384,0.000543,0.839,-0.451,-0.352,0.000000
27.107912,-8.278,-10.503595,0.000525,0.839,-0.451,-0.352,0.000000
27.201744,-8.027,-10.310024,0.000510,0.839,-0.451,-0.352,0.000000
27.295906,-7.716,-10.114515,0.000492,0.839,-0.451,-0.352,0.000000
27.390394,-7.424,-9.697521,0.000476,0.839,-0.451,-0.352,0.000000
27.485209,-7.089,-9.571865,0.000458,0.839,-0.451,-0.352,0.000000
27.580351,-6.744,-9.640191,0.000440,0.839,-0.451,-0.352,0.000000
27.675825,-6.497,-9.795225,0.000428,0.839,-0.451,-0.352,0.000000
27.771622,-6.172,-9.386246,0.000412,0.839,-0.451,-0.352,0.000000
27.867756,-5.661,-9.617249,0.000389,0.839,-0.451,-0.352,0.000000
27.964224,-5.356,-10.135610,0.000375,0.839,-0.451,-0.352,0.000000
28.061024,-5.089,-10.348517,0.000364,0.839,-0.451,-0.352,0.000000
28.158161,-4.619,-11.006248,0.000345,0.839,-0.451,-0.352,0.000000
28.255634,-4.343,-11.413671,0.000334,0.839,-0.451,-0.352,0.000000
28.353443,-4.034,-11.760306,0.000323,0.839,-0.451,-0.352,0.000000
28.451593,-3.728,-12.219923,0.000312,0.839,-0.451,-0.352,0.000000
28.550081,-3.417,-12.519914,0.000301,0.839,-0.451,-0.352,0.000000
28.648903,-3.067,-13.001964,0.000289,0.839,-0.451,-0.352,0.000000
28.748075,-2.735,-13.833480,0.000278,0.839,-0.451,-0.352,0.000000
28.847589,-2.468,-14.567065,0.000270,0.839,-0.451,-0.352,0.000000
28.947449,-2.147,-14.910172,0.000260,0.839,-0.451,-0.352,0.000000
