frequency_hz,spl_db,phase_deg,thd_percent,rt60_ms,c50_db,c80_db,group_delay_ms
20.000000,-15.881,85.702484,0.001246,12.450,-6.674,-6.628,0.000000
20.069233,-15.856,58.745480,0.001243,12.450,-6.674,-6.628,0.000000
20.138704,-16.325,44.824158,0.001312,12.450,-6.674,-6.628,0.000000
20.208418,-16.241,38.815201,0.001299,12.450,-6.674,-6.628,0.000000
20.278366,-16.692,5.333893,0.001369,12.450,-6.674,-6.628,0.000000
20.348562,-17.388,5.370458,0.001484,12.450,-6.674,-6.628,0.000000
20.419001,-17.612,11.385725,0.001523,12.450,-6.674,-6.628,0.000000
20.489683,-19.174,-29.229116,0.001823,12.450,-6.674,-6.628,0.000000
20.560612,-19.106,-8.969377,0.001809,12.450,-6.674,-6.628,0.000000
20.631784,-20.347,-6.040502,0.002086,12.450,-6.674,-6.628,0.000000
20.703203,-20.481,-6.383773,0.002119,12.450,-6.674,-6.628,0.000000
20.774866,-20.107,-22.343273,0.002030,12.450,-6.674,-6.628,0.000000
20.846781,-20.221,-54.272198,0.002056,12.450,-6.674,-6.628,0.000000
20.918943,-20.081,-68.611298,0.002023,12.450,-6.674,-6.628,0.000000
20.991358,-20.481,-50.002827,0.002119,12.450,-6.674,-6.628,0.000000
21.064020,-21.240,-52.739040,0.002313,12.450,-6.674,-6.628,0.000000
21.136936,-21.708,-78.595634,0.002442,12.450,-6.674,-6.628,0.000000
21.210104,-22.095,-75.717445,0.002553,12.450,-6.674,-6.628,0.000000
21.283520,-22.516,-77.107430,0.002680,12.450,-6.674,-6.628,0.000000
21.357197,-23.157,-90.735771,0.002886,12.450,-6.674,-6.628,0.000000
21.431126,-24.352,-105.294273,0.003312,12.450,-6.674,-6.628,0.000000
21.505312,-24.394,-103.005707,0.003328,12.450,-6.674,-6.628,0.000000
21.579756,-25.179,-113.838432,0.003643,12.450,-6.674,-6.628,0.000000
21.654457,-25.527,-113.298737,0.003792,12.450,-6.674,-6.628,0.000000
21.729416,-26.278,-122.529243,0.004134,12.450,-6.674,-6.628,0.000000
21.804630,-25.575,-126.287193,0.003813,12.450,-6.674,-6.628,0.000000
21.880110,-26.456,-137.467453,0.004220,12.450,-6.674,-6.628,0.000000
21.955851,-26.047,-144.884079,0.004027,12.450,-6.674,-6.628,0.000000
22.031853,-26.392,-152.173889,0.004190,12.450,-6.674,-6.628,0.000000
22.108118,-25.924,-153.249268,0.003971,12.450,-6.674,-6.628,0.000000
22.184649,-26.399,-155.689713,0.004196,12.450,-6.674,-6.628,0.000000
22.261442,-26.297,-156.926804,0.004147,12.450,-6.674,-6.628,0.000000
22.338503,-25.691,-157.239182,0.003868,12.450,-6.674,-6.628,0.000000
22.415825,-24.802,-163.637695,0.003492,12.450,-6.674,-6.628,0.000000
22.493420,-24.445,-163.144485,0.003352,12.450,-6.674,-6.628,0.000000
22.571283,-23.803,-167.943573,0.003114,12.450,-6.674,-6.628,0.000000
22.649418,-23.802,-167.943573,0.003114,12.450,-6.674,-6.628,0.000000
22.727821,-23.100,-171.639297,0.002873,12.450,-6.674,-6.628,0.000000
22.806496,-23.619,-172.242065,0.003050,12.450,-6.674,-6.628,0.000000
22.885437,-23.064,-173.351685,0.002862,12.450,-6.674,-6.628,0.000000
22.964659,-22.256,-174.859985,0.002608,12.450,-6.674,-6.628,0.000000
23.044153,-21.736,-179.366425,0.002457,12.450,-6.674,-6.628,0.000000
23.123922,-21.263,179.324570,0.002327,12.450,-6.674,-6.628,0.000000
23.203970,-21.268,173.281937,0.002329,12.450,-6.674,-6.628,0.000000
23.284292,-21.200,171.594345,0.002311,12.450,-6.674,-6.628,0.000000
23.364893,-20.641,170.212769,0.002168,12.450,-6.674,-6.628,0.000000
23.445774,-20.885,170.306747,0.002229,12.450,-6.674,-6.628,0.000000
23.526928,-20.293,169.916992,0.002083,12.450,-6.674,-6.628,0.000000
23.608370,-19.313,165.091476,0.001861,12.450,-6.674,-6.628,0.000000
23.690092,-18.981,164.478043,0.001791,12.450,-6.674,-6.628,0.000000
23.772099,-18.706,161.836563,0.001735,12.450,-6.674,-6.628,0.000000
23.854389,-18.440,158.761932,0.001683,12.450,-6.674,-6.628,0.000000
23.936964,-17.812,154.989487,0.001565,12.450,-6.674,-6.628,0.000000
24.019825,-17.376,151.975067,0.001489,12.450,-6.674,-6.628,0.000000
24.102966,-17.002,151.849594,0.001426,12.450,-6.674,-6.628,0.000000
24.186401,-16.188,147.227661,0.001299,12.450,-6.674,-6.628,0.000000
24.270124,-15.935,144.078064,0.001262,12.450,-6.674,-6.628,0.000000
24.354139,-15.442,141.791046,0.001192,12.450,-6.674,-6.628,0.000000
24.438444,-15.239,137.271423,0.001165,12.450,-6.674,-6.628,0.000000
24.523041,-14.867,133.063110,0.001116,12.450,-6.674,-6.628,0.000000
