frequency_hz,spl_db,phase_deg,thd_percent,rt60_ms,c50_db,c80_db,group_delay_ms
20.000000,-4.367,-137.857315,0.000331,16.188,-25.722,-23.633,0.000000
20.069233,-4.814,-141.960770,0.000349,16.188,-25.722,-23.633,0.000000
20.138704,-4.844,-144.431213,0.000350,16.188,-25.722,-23.633,0.000000
20.208418,-4.908,-146.358093,0.000353,16.188,-25.722,-23.633,0.000000
20.278366,-4.735,-151.383820,0.000346,16.188,-25.722,-23.633,0.000000
20.348562,-5.271,-155.409775,0.000368,16.188,-25.722,-23.633,0.000000
20.419001,-5.163,-159.735840,0.000363,16.188,-25.722,-23.633,0.000000
20.489683,-5.445,-165.168594,0.000375,16.188,-25.722,-23.633,0.000000
20.560612,-5.193,-167.504440,0.000365,16.188,-25.722,-23.633,0.000000
20.631784,-5.740,-171.443085,0.000388,16.188,-25.722,-23.633,0.000000
20.703203,-5.863,-176.178207,0.000394,16.188,-25.722,-23.633,0.000000
20.774866,-6.098,176.055557,0.000405,16.188,-25.722,-23.633,0.000000
20.846781,-6.504,170.184143,0.000424,16.188,-25.722,-23.633,0.000000
20.918943,-6.698,166.901855,0.000433,16.188,-25.722,-23.633,0.000000
20.991358,-7.237,161.499130,0.000461,16.188,-25.722,-23.633,0.000000
21.064020,-7.903,155.248886,0.000498,16.188,-25.722,-23.633,0.000000
21.136936,-8.742,151.686890,0.000549,16.188,-25.722,-23.633,0.000000
21.210104,-9.777,145.344193,0.000618,16.188,-25.722,-23.633,0.000000
21.283520,-10.095,142.252289,0.000641,16.188,-25.722,-23.633,0.000000
21.357197,-10.521,141.056229,0.000674,16.188,-25.722,-23.633,0.000000
21.431126,-11.686,135.563339,0.000771,16.188,-25.722,-23.633,0.000000
21.505312,-13.142,135.026260,0.000911,16.188,-25.722,-23.633,0.000000
21.579756,-14.213,132.536026,0.001031,16.188,-25.722,-23.633,0.000000
21.654457,-15.127,131.240982,0.001145,16.188,-25.722,-23.633,0.000000
21.729416,-15.385,130.572845,0.001180,16.188,-25.722,-23.633,0.000000
21.804630,-16.283,127.625076,0.001308,16.188,-25.722,-23.633,0.000000
21.880110,-17.964,117.995583,0.001587,16.188,-25.722,-23.633,0.000000
21.955851,-18.878,120.248291,0.001764,16.188,-25.722,-23.633,0.000000
22.031853,-20.783,129.907730,0.002197,16.188,-25.722,-23.633,0.000000
22.108118,-21.875,129.532211,0.002492,16.188,-25.722,-23.633,0.000000
22.184649,-22.685,132.874039,0.002736,16.188,-25.722,-23.633,0.000000
22.261442,-23.539,140.171036,0.003019,16.188,-25.722,-23.633,0.000000
22.338503,-24.076,143.338638,0.003212,16.188,-25.722,-23.633,0.000000
22.415825,-24.356,-178.066696,0.003318,16.188,-25.722,-23.633,0.000000
22.493420,-24.717,-119.165840,0.003459,16.188,-25.722,-23.633,0.000000
22.571283,-23.921,-113.180145,0.003157,16.188,-25.722,-23.633,0.000000
22.649418,-23.920,-113.180145,0.003157,16.188,-25.722,-23.633,0.000000
22.727821,-22.793,-119.851555,0.002773,16.188,-25.722,-23.633,0.000000
22.806496,-21.090,-111.166328,0.002280,16.188,-25.722,-23.633,0.000000
22.885437,-19.954,-105.563370,0.002001,16.188,-25.722,-23.633,0.000000
22.964659,-18.536,-115.541435,0.001699,16.188,-25.722,-23.633,0.000000
23.044153,-17.220,-109.924522,0.001461,16.188,-25.722,-23.633,0.000000
23.123922,-16.910,-111.648041,0.001410,16.188,-25.722,-23.633,0.000000
