frequency_hz,spl_db,phase_deg,thd_percent,rt60_ms,c50_db,c80_db,group_delay_ms
20.000000,-15.590,171.697968,0.001205,8.348,1.194,1.207,0.000000
20.069233,-15.915,165.043182,0.001251,8.348,1.194,1.207,0.000000
20.138704,-15.950,162.517303,0.001256,8.348,1.194,1.207,0.000000
20.208418,-15.817,160.836700,0.001237,8.348,1.194,1.207,0.000000
20.278366,-16.062,154.414780,0.001272,8.348,1.194,1.207,0.000000
20.348562,-16.507,147.800110,0.001339,8.348,1.194,1.207,0.000000
20.419001,-16.668,145.773651,0.001364,8.348,1.194,1.207,0.000000
20.489683,-16.673,140.356400,0.001365,8.348,1.194,1.207,0.000000
20.560612,-16.792,136.470779,0.001384,8.348,1.194,1.207,0.000000
20.631784,-17.440,131.595215,0.001492,8.348,1.194,1.207,0.000000
20.703203,-17.599,129.240326,0.001520,8.348,1.194,1.207,0.000000
20.774866,-17.996,121.867386,0.001591,8.348,1.194,1.207,0.000000
20.846781,-18.472,118.853470,0.001681,8.348,1.194,1.207,0.000000
20.918943,-18.797,115.923325,0.001745,8.348,1.194,1.207,0.000000
20.991358,-19.054,113.596519,0.001798,8.348,1.194,1.207,0.000000
21.064020,-19.514,108.161560,0.001896,8.348,1.194,1.207,0.000000
21.136936,-19.902,103.236107,0.001982,8.348,1.194,1.207,0.000000
21.210104,-20.536,96.728577,0.002132,8.348,1.194,1.207,0.000000
21.283520,-21.112,94.547981,0.002278,8.348,1.194,1.207,0.000000
21.357197,-21.635,92.516319,0.002420,8.348,1.194,1.207,0.000000
21.431126,-22.145,89.931007,0.002566,8.348,1.194,1.207,0.000000
21.505312,-22.722,84.298653,0.002743,8.348,1.194,1.207,0.000000
21.579756,-23.871,83.030693,0.003132,8.348,1.194,1.207,0.000000
21.654457,-24.371,79.592796,0.003318,8.348,1.194,1.207,0.000000
21.729416,-24.784,77.505913,0.003480,8.348,1.194,1.207,0.000000
21.804630,-25.912,72.043686,0.003963,8.348,1.194,1.207,0.000000
21.880110,-27.850,77.380638,0.004954,8.348,1.194,1.207,0.000000
21.955851,-28.811,83.408997,0.005534,8.348,1.194,1.207,0.000000
22.031853,-29.947,87.615860,0.006308,8.348,1.194,1.207,0.000000
22.108118,-30.293,89.231560,0.006564,8.348,1.194,1.207,0.000000
22.184649,-30.553,92.099106,0.006763,8.348,1.194,1.207,0.000000
22.261442,-31.690,92.831299,0.007710,8.348,1.194,1.207,0.000000
22.338503,-33.677,105.326736,0.009691,8.348,1.194,1.207,0.000000
22.415825,-33.175,115.256569,0.009148,8.348,1.194,1.207,0.000000
22.493420,-33.309,126.990768,0.009291,8.348,1.194,1.207,0.000000
22.571283,-32.611,136.945511,0.008575,8.348,1.194,1.207,0.000000
22.649418,-32.610,136.945511,0.008575,8.348,1.194,1.207,0.000000
22.727821,-30.977,137.132721,0.007106,8.348,1.194,1.207,0.000000
22.806496,-30.619,138.017471,0.006821,8.348,1.194,1.207,0.000000
22.885437,-29.914,142.963974,0.006290,8.348,1.194,1.207,0.000000
22.964659,-29.043,144.960815,0.005690,8.348,1.194,1.207,0.000000
23.044153,-28.000,149.481689,0.005048,8.348,1.194,1.207,0.000000
23.123922,-27.648,148.428268,0.004848,8.348,1.194,1.207,0.000000
23.203970,-26.825,143.656143,0.004411,8.348,1.194,1.207,0.000000
23.284292,-25.971,140.357513,0.003998,8.348,1.194,1.207,0.000000
23.364893,-25.628,138.562210,0.003844,8.348,1.194,1.207,0.000000
23.445774,-25.141,135.234695,0.003635,8.348,1.194,1.207,0.000000
23.526928,-24.864,132.496964,0.003522,8.348,1.194,1.207,0.000000
23.608370,-24.262,129.494492,0.003286,8.348,1.194,1.207,0.000000
23.690092,-23.704,124.829857,0.003081,8.348,1.194,1.207,0.000000
23.772099,-23.633,123.007011,0.003056,8.348,1.194,1.207,0.000000
23.854389,-23.367,120.356560,0.002964,8.348,1.194,1.207,0.000000
23.936964,-22.955,116.176979,0.002827,8.348,1.194,1.207,0.000000
24.019825,-22.514,111.380898,0.002687,8.348,1.194,1.207,0.000000
24.102966,-22.396,106.610283,0.002650,8.348,1.194,1.207,0.000000
24.186401,-22.334,102.735603,0.002632,8.348,1.194,1.207,0.000000
24.270124,-22.190,100.627342,0.002589,8.348,1.194,1.207,0.000000
24.354139,-21.989,96.794632,0.002531,8.348,1.194,1.207,0.000000
24.438444,-21.931,92.715660,0.002514,8.348,1.194,1.207,0.000000
24.523041,-21.862,88.722595,0.002495,8.348,1.194,1.207,0.000000
24.607929,-21.842,86.600365,0.002490,8.348,1.194,1.207,0.000000
24.693108,-21.780,82.512299,0.002472,8.348,1.194,1.207,0.000000
24.778585,-21.680,78.245605,0.002444,8.348,1.194,1.207,0.000000
24.864359,-21.750,73.705353,0.002465,8.348,1.194,1.207,0.000000
24.950430,-21.950,69.951561,0.002522,8.348,1.194,1.207,0.000000
25.036798,-21.896,67.047134,0.002507,8.348,1.194,1.207,0.000000
25.123466,-21.932,62.993137,0.002518,8.348,1.194,1.207,0.000000
25.210434,-21.973,58.895161,0.002530,8.348,1.194,1.207,0.000000
25.297697,-22.157,54.815292,0.002585,8.348,1.194,1.207,0.000000
25.385267,-22.270,51.344200,0.002618,8.348,1.194,1.207,0.000000
25.473143,-22.482,47.749405,0.002683,8.348,1.194,1.207,0.000000
25.561321,-22.563,44.205929,0.002708,8.348,1.194,1.207,0.000000
25.649803,-22.790,40.381920,0.002780,8.348,1.194,1.207,0.000000
25.738594,-23.069,37.221325,0.002871,8.348,1.194,1.207,0.000000
25.827690,-23.236,33.930756,0.002927,8.348,1.194,1.207,0.000000
25.917089,-23.485,30.513409,0.003012,8.348,1.194,1.207,0.000000
26.006805,-23.690,29.212227,0.003085,8.348,1.194,1.207,0.000000
26.096830,-24.013,26.679497,0.003202,8.348,1.194,1.207,0.000000
26.187168,-24.285,24.283497,0.003305,8.348,1.194,1.207,0.000000
26.277819,-24.550,21.709219,0.003408,8.348,1.194,1.207,0.000000
26.368782,-24.977,19.063913,0.003580,8.348,1.194,1.207,0.000000
26.460054,-25.305,17.853746,0.003718,8.348,1.194,1.207,0.000000
26.551649,-25.707,16.087992,0.003895,8.348,1.194,1.207,0.000000
26.643560,-26.125,16.831812,0.004088,8.348,1.194,1.207,0.000000
26.735790,-26.246,16.001455,0.004146,8.348,1.194,1.207,0.000000
26.828339,-26.556,15.741219,0.004297,8.348,1.194,1.207,0.000000
26.921207,-26.805,16.080275,0.004423,8.348,1.194,1.207,0.000000
27.014399,-26.846,16.347416,0.004444,8.348,1.194,1.207,0.000000
27.107912,-27.016,16.105263,0.004532,8.348,1.194,1.207,0.000000
27.201744,-27.062,17.366488,0.004557,8.348,1.194,1.207,0.000000
27.295906,-27.073,17.271643,0.004562,8.348,1.194,1.207,0.000000
27.390394,-26.936,19.514191,0.004491,8.348,1.194,1.207,0.000000
27.485209,-26.613,19.295822,0.004327,8.348,1.194,1.207,0.000000
27.580351,-26.420,20.108450,0.004232,8.348,1.194,1.207,0.000000
27.675825,-26.069,19.181097,0.004065,8.348,1.194,1.207,0.000000
27.771622,-25.700,19.444664,0.003896,8.348,1.194,1.207,0.000000
27.867756,-25.089,18.364578,0.003632,8.348,1.194,1.207,0.000000
27.964224,-24.751,17.063976,0.003494,8.348,1.194,1.207,0.000000
28.061024,-24.331,16.087782,0.003330,8.348,1.194,1.207,0.000000
28.158161,-23.904,12.926943,0.003170,8.348,1.194,1.207,0.000000
28.255634,-23.386,11.565337,0.002988,8.348,1.194,1.207,0.000000
28.353443,-23.088,8.227361,0.002887,8.348,1.194,1.207,0.000000
28.451593,-22.869,6.312843,0.002816,8.348,1.194,1.207,0.000000
28.550081,-22.535,3.803281,0.002710,8.348,1.194,1.207,0.000000
28.648903,-22.236,1.003936,0.002619,8.348,1.194,1.207,0.000000
28.748075,-21.972,-1.641496,0.002541,8.348,1.194,1.207,0.000000
28.847589,-21.746,-4.369380,0.002476,8.348,1.194,1.207,0.000000
28.947449,-21.545,-6.881118,0.002420,8.348,1.194,1.207,0.000000
29.047655,-21.265,-9.167320,0.002343,8.348,1.194,1.207,0.000000
29.148207,-20.899,-14.255521,0.002246,8.348,1.194,1.207,0.000000
29.249100,-20.714,-17.759615,0.002199,8.348,1.194,1.207,0.000000
29.350348,-20.692,-20.516928,0.002193,8.348,1.194,1.207,0.000000
29.451948,-20.327,-23.823954,0.002103,8.348,1.194,1.207,0.000000
29.553900,-20.034,-27.512474,0.002033,8.348,1.194,1.207,0.000000
29.656204,-19.869,-31.362303,0.001995,8.348,1.194,1.207,0.000000
29.758862,-19.812,-35.410583,0.001983,8.348,1.194,1.207,0.000000
29.861876,-19.789,-38.773518,0.001978,8.348,1.194,1.207,0.000000
29.965246,-19.851,-44.657661,0.001992,8.348,1.194,1.207,0.000000
30.068968,-19.913,-48.508163,0.002007,8.348,1.194,1.207,0.000000
30.173054,-20.149,-52.723991,0.002062,8.348,1.194,1.207,0.000000
30.277502,-20.270,-55.331764,0.002092,8.348,1.194,1.207,0.000000
30.382311,-20.415,-60.894520,0.002127,8.348,1.194,1.207,0.000000
30.487482,-20.887,-64.331772,0.002247,8.348,1.194,1.207,0.000000
30.593019,-21.304,-65.695442,0.002357,8.348,1.194,1.207,0.000000
30.698914,-21.667,-68.378777,0.002458,8.348,1.194,1.207,0.000000
30.805182,-22.385,-71.681107,0.002671,8.348,1.194,1.207,0.000000
30.911816,-22.675,-71.793388,0.002762,8.348,1.194,1.207,0.000000
31.018822,-23.245,-70.406387,0.002950,8.348,1.194,1.207,0.000000
31.126196,-23.806,-69.369095,0.003146,8.348,1.194,1.207,0.000000
31.233944,-24.147,-66.422508,0.003273,8.348,1.194,1.207,0.000000
31.342064,-24.443,-64.088966,0.003386,8.348,1.194,1.207,0.000000
31.450558,-24.488,-61.058319,0.003404,8.348,1.194,1.207,0.000000
31.559420,-24.205,-58.783005,0.003294,8.348,1.194,1.207,0.000000
31.668667,-24.441,-56.231480,0.003385,8.348,1.194,1.207,0.000000
31.778292,-23.328,-49.540325,0.002978,8.348,1.194,1.207,0.000000
31.888296,-22.814,-47.008492,0.002808,8.348,1.194,1.207,0.000000
31.998680,-22.285,-45.350307,0.002642,8.348,1.194,1.207,0.000000
32.109447,-21.573,-45.733749,0.002435,8.348,1.194,1.207,0.000000
32.220600,-21.060,-47.199974,0.002295,8.348,1.194,1.207,0.000000
32.332127,-20.233,-46.192982,0.002087,8.348,1.194,1.207,0.000000
32.444046,-19.505,-47.510284,0.001920,8.348,1.194,1.207,0.000000
32.556355,-19.253,-50.133308,0.001865,8.348,1.194,1.207,0.000000
32.669052,-18.677,-52.591000,0.001746,8.348,1.194,1.207,0.000000
32.782143,-18.078,-55.140320,0.001630,8.348,1.194,1.207,0.000000
32.895622,-17.645,-59.543312,0.001551,8.348,1.194,1.207,0.000000
33.009491,-17.230,-60.288250,0.001479,8.348,1.194,1.207,0.000000
33.123760,-16.745,-65.852135,0.001399,8.348,1.194,1.207,0.000000
33.238411,-16.526,-68.136696,0.001364,8.348,1.194,1.207,0.000000
33.353470,-15.992,-72.342621,0.001283,8.348,1.194,1.207,0.000000
33.468929,-15.717,-75.667732,0.001243,8.348,1.194,1.207,0.000000
33.584785,-15.435,-81.142975,0.001203,8.348,1.194,1.207,0.000000
33.701042,-15.135,-83.519623,0.001162,8.348,1.194,1.207,0.000000
33.817696,-14.757,-89.495041,0.001113,8.348,1.194,1.207,0.000000
33.934757,-14.583,-95.533073,0.001091,8.348,1.194,1.207,0.000000
34.052227,-14.655,-99.038124,0.001100,8.348,1.194,1.207,0.000000
34.170105,-14.477,-102.955566,0.001078,8.348,1.194,1.207,0.000000
34.288387,-14.430,-107.745407,0.001072,8.348,1.194,1.207,0.000000
34.407082,-14.349,-113.087006,0.001062,8.348,1.194,1.207,0.000000
34.526184,-14.372,-116.968231,0.001065,8.348,1.194,1.207,0.000000
34.645702,-14.487,-120.486778,0.001080,8.348,1.194,1.207,0.000000
34.765621,-14.689,-126.454475,0.001105,8.348,1.194,1.207,0.000000
34.885967,-14.756,-129.281052,0.001114,8.348,1.194,1.207,0.000000
35.006729,-14.855,-131.921692,0.001127,8.348,1.194,1.207,0.000000
35.127911,-15.062,-137.881744,0.001154,8.348,1.194,1.207,0.000000
35.249508,-15.264,-140.435898,0.001182,8.348,1.194,1.207,0.000000
35.371529,-15.515,-143.043198,0.001217,8.348,1.194,1.207,0.000000
35.493965,-15.876,-147.247360,0.001268,8.348,1.194,1.207,0.000000
35.616829,-16.111,-149.456146,0.001303,8.348,1.194,1.207,0.000000
35.740120,-16.468,-151.985123,0.001358,8.348,1.194,1.207,0.000000
35.863842,-16.796,-154.525528,0.001410,8.348,1.194,1.207,0.000000
35.987988,-16.944,-155.707291,0.001435,8.348,1.194,1.207,0.000000
36.112564,-17.192,-158.124359,0.001476,8.348,1.194,1.207,0.000000
36.237572,-17.644,-160.297867,0.001555,8.348,1.194,1.207,0.000000
36.363010,-17.908,-161.143173,0.001603,8.348,1.194,1.207,0.000000
36.488888,-18.051,-162.138611,0.001630,8.348,1.194,1.207,0.000000
36.615189,-18.265,-164.169815,0.001670,8.348,1.194,1.207,0.000000
36.741936,-18.491,-165.848557,0.001715,8.348,1.194,1.207,0.000000
36.869122,-18.639,-166.142929,0.001745,8.348,1.194,1.207,0.000000
36.996750,-18.686,-167.354248,0.001754,8.348,1.194,1.207,0.000000
37.124817,-18.716,-169.175659,0.001761,8.348,1.194,1.207,0.000000
37.253323,-18.832,-171.563599,0.001785,8.348,1.194,1.207,0.000000
37.382278,-18.990,-173.290512,0.001818,8.348,1.194,1.207,0.000000
37.511681,-19.056,-174.017426,0.001832,8.348,1.194,1.207,0.000000
37.641533,-19.160,-176.750977,0.001854,8.348,1.194,1.207,0.000000
37.771832,-19.252,-178.215088,0.001875,8.348,1.194,1.207,0.000000
37.902584,-19.450,-179.451523,0.001918,8.348,1.194,1.207,0.000000
38.033791,-19.427,-179.927567,0.001913,8.348,1.194,1.207,0.000000
38.165447,-19.387,178.476288,0.001905,8.348,1.194,1.207,0.000000
38.297562,-19.472,176.121689,0.001924,8.348,1.194,1.207,0.000000
38.430122,-19.495,175.156891,0.001929,8.348,1.194,1.207,0.000000
38.563152,-19.446,173.082932,0.001918,8.348,1.194,1.207,0.000000
38.696644,-19.430,172.062851,0.001914,8.348,1.194,1.207,0.000000
38.830597,-19.383,169.168350,0.001904,8.348,1.194,1.207,0.000000
38.965015,-19.403,167.324860,0.001908,8.348,1.194,1.207,0.000000
39.099895,-19.454,165.446976,0.001920,8.348,1.194,1.207,0.000000
39.235237,-19.372,163.166260,0.001902,8.348,1.194,1.207,0.000000
