frequency_hz,spl_db,phase_deg,thd_percent,rt60_ms,c50_db,c80_db,group_delay_ms
20.000000,-19.980,129.280045,0.001998,12.904,-8.994,-8.932,0.000000
20.069233,-20.354,150.295731,0.002086,12.904,-8.994,-8.932,0.000000
20.138704,-19.999,130.739822,0.002003,12.904,-8.994,-8.932,0.000000
20.208418,-20.448,106.664314,0.002109,12.904,-8.994,-8.932,0.000000
20.278366,-19.640,102.224770,0.001922,12.904,-8.994,-8.932,0.000000
20.348562,-20.040,54.821232,0.002013,12.904,-8.994,-8.932,0.000000
20.419001,-20.664,48.844120,0.002164,12.904,-8.994,-8.932,0.000000
20.489683,-20.635,14.675832,0.002157,12.904,-8.994,-8.932,0.000000
20.560612,-20.562,-10.927419,0.002139,12.904,-8.994,-8.932,0.000000
20.631784,-20.727,28.602289,0.002179,12.904,-8.994,-8.932,0.000000
20.703203,-21.256,-8.099648,0.002317,12.904,-8.994,-8.932,0.000000
20.774866,-22.390,-76.388939,0.002639,12.904,-8.994,-8.932,0.000000
20.846781,-22.895,-24.738911,0.002798,12.904,-8.994,-8.932,0.000000
20.918943,-23.861,-133.516174,0.003127,12.904,-8.994,-8.932,0.000000
20.991358,-23.971,-18.292524,0.003167,12.904,-8.994,-8.932,0.000000
21.064020,-23.995,-25.844269,0.003176,12.904,-8.994,-8.932,0.000000
21.136936,-23.712,-16.817839,0.003075,12.904,-8.994,-8.932,0.000000
21.210104,-23.601,-57.039219,0.003037,12.904,-8.994,-8.932,0.000000
21.283520,-23.833,-12.635462,0.003119,12.904,-8.994,-8.932,0.000000
21.357197,-23.238,-22.082363,0.002913,12.904,-8.994,-8.932,0.000000
21.431126,-22.842,-64.693085,0.002784,12.904,-8.994,-8.932,0.000000
21.505312,-23.241,-105.686226,0.002914,12.904,-8.994,-8.932,0.000000
21.579756,-22.673,-151.596466,0.002730,12.904,-8.994,-8.932,0.000000
21.654457,-22.960,-100.473808,0.002822,12.904,-8.994,-8.932,0.000000
21.729416,-23.026,-50.408043,0.002843,12.904,-8.994,-8.932,0.000000
21.804630,-22.803,-170.363159,0.002771,12.904,-8.994,-8.932,0.000000
21.880110,-23.379,-158.931030,0.002961,12.904,-8.994,-8.932,0.000000
21.955851,-24.479,-175.909088,0.003361,12.904,-8.994,-8.932,0.000000
22.031853,-24.847,137.654205,0.003507,12.904,-8.994,-8.932,0.000000
22.108118,-25.809,140.487762,0.003919,12.904,-8.994,-8.932,0.000000
22.184649,-25.807,126.612083,0.003919,12.904,-8.994,-8.932,0.000000
22.261442,-26.250,111.638000,0.004125,12.904,-8.994,-8.932,0.000000
22.338503,-25.848,70.061729,0.003939,12.904,-8.994,-8.932,0.000000
22.415825,-26.341,71.688667,0.004170,12.904,-8.994,-8.932,0.000000
22.493420,-27.637,64.159935,0.004841,12.904,-8.994,-8.932,0.000000
22.571283,-28.186,38.520985,0.005158,12.904,-8.994,-8.932,0.000000
22.649418,-28.185,38.520985,0.005158,12.904,-8.994,-8.932,0.000000
22.727821,-28.085,39.277527,0.005100,12.904,-8.994,-8.932,0.000000
22.806496,-27.974,47.936707,0.005036,12.904,-8.994,-8.932,0.000000
22.885437,-27.545,-8.854877,0.004794,12.904,-8.994,-8.932,0.000000
22.964659,-28.183,-8.947857,0.005160,12.904,-8.994,-8.932,0.000000
23.044153,-29.737,86.778481,0.006172,12.904,-8.994,-8.932,0.000000
23.123922,-29.785,70.021919,0.006207,12.904,-8.994,-8.932,0.000000
23.203970,-30.109,57.244926,0.006445,12.904,-8.994,-8.932,0.000000
23.284292,-30.449,18.090038,0.006703,12.904,-8.994,-8.932,0.000000
23.364893,-29.713,37.742012,0.006159,12.904,-8.994,-8.932,0.000000
23.445774,-30.303,-1.819739,0.006594,12.904,-8.994,-8.932,0.000000
23.526928,-32.029,69.429146,0.008044,12.904,-8.994,-8.932,0.000000
23.608370,-31.904,13.647578,0.007930,12.904,-8.994,-8.932,0.000000
23.690092,-32.973,7.316145,0.008968,12.904,-8.994,-8.932,0.000000
23.772099,-32.361,-11.843192,0.008357,12.904,-8.994,-8.932,0.000000
23.854389,-32.810,-47.625042,0.008801,12.904,-8.994,-8.932,0.000000
23.936964,-32.909,-62.171764,0.008902,12.904,-8.994,-8.932,0.000000
24.019825,-33.916,-87.610008,0.009996,12.904,-8.994,-8.932,0.000000
24.102966,-34.148,-118.059753,0.010266,12.904,-8.994,-8.932,0.000000
24.186401,-33.632,-118.183609,0.009676,12.904,-8.994,-8.932,0.000000
24.270124,-34.129,-115.432304,0.010249,12.904,-8.994,-8.932,0.000000
24.354139,-32.693,-118.424835,0.008688,12.904,-8.994,-8.932,0.000000
24.438444,-32.613,-143.539948,0.008611,12.904,-8.994,-8.932,0.000000
24.523041,-32.096,-143.627563,0.008114,12.904,-8.994,-8.932,0.000000
24.607929,-31.637,-150.608536,0.007698,12.904,-8.994,-8.932,0.000000
24.693108,-32.194,-171.546066,0.008209,12.904,-8.994,-8.932,0.000000
24.778585,-32.072,-154.799698,0.008096,12.904,-8.994,-8.932,0.000000
24.864359,-31.856,-126.513733,0.007899,12.904,-8.994,-8.932,0.000000
24.950430,-31.414,-157.671387,0.007508,12.904,-8.994,-8.932,0.000000
25.036798,-30.433,-138.201996,0.006707,12.904,-8.994,-8.932,0.000000
25.123466,-30.881,-167.880737,0.007063,12.904,-8.994,-8.932,0.000000
25.210434,-31.649,162.569962,0.007717,12.904,-8.994,-8.932,0.000000
25.297697,-32.112,154.263550,0.008142,12.904,-8.994,-8.932,0.000000
25.385267,-32.292,145.323074,0.008313,12.904,-8.994,-8.932,0.000000
25.473143,-32.765,150.719238,0.008780,12.904,-8.994,-8.932,0.000000
25.561321,-32.682,157.472809,0.008699,12.904,-8.994,-8.932,0.000000
25.649803,-32.600,130.696609,0.008618,12.904,-8.994,-8.932,0.000000
25.738594,-32.916,111.580009,0.008939,12.904,-8.994,-8.932,0.000000
25.827690,-32.664,92.179901,0.008685,12.904,-8.994,-8.932,0.000000
25.917089,-34.288,85.568520,0.010472,12.904,-8.994,-8.932,0.000000
26.006805,-33.100,88.973122,0.009135,12.904,-8.994,-8.932,0.000000
26.096830,-33.142,90.302650,0.009181,12.904,-8.994,-8.932,0.000000
26.187168,-33.549,90.964470,0.009623,12.904,-8.994,-8.932,0.000000
26.277819,-33.588,82.412857,0.009668,12.904,-8.994,-8.932,0.000000
26.368782,-33.418,92.252243,0.009482,12.904,-8.994,-8.932,0.000000
26.460054,-33.457,92.721710,0.009526,12.904,-8.994,-8.932,0.000000
26.551649,-33.031,126.004501,0.009069,12.904,-8.994,-8.932,0.000000
26.643560,-32.484,142.790009,0.008515,12.904,-8.994,-8.932,0.000000
26.735790,-32.301,150.092773,0.008338,12.904,-8.994,-8.932,0.000000
26.828339,-32.539,136.013046,0.008570,12.904,-8.994,-8.932,0.000000
26.921207,-32.483,178.028625,0.008515,12.904,-8.994,-8.932,0.000000
27.014399,-33.832,132.110626,0.009946,12.904,-8.994,-8.932,0.000000
27.107912,-34.222,-177.220810,0.010405,12.904,-8.994,-8.932,0.000000
27.201744,-33.442,-178.465027,0.009513,12.904,-8.994,-8.932,0.000000
27.295906,-33.083,78.089806,0.009129,12.904,-8.994,-8.932,0.000000
27.390394,-33.101,81.548126,0.009150,12.904,-8.994,-8.932,0.000000
27.485209,-33.023,66.998276,0.009070,12.904,-8.994,-8.932,0.000000
27.580351,-34.146,59.364475,0.010324,12.904,-8.994,-8.932,0.000000
27.675825,-34.382,-44.251911,0.010609,12.904,-8.994,-8.932,0.000000
27.771622,-33.517,-179.359695,0.009606,12.904,-8.994,-8.932,0.000000
27.867756,-32.433,-81.418686,0.008480,12.904,-8.994,-8.932,0.000000
27.964224,-31.896,-159.017456,0.007973,12.904,-8.994,-8.932,0.000000
28.061024,-31.936,-137.597580,0.008010,12.904,-8.994,-8.932,0.000000
28.158161,-32.087,-161.861877,0.008152,12.904,-8.994,-8.932,0.000000
28.255634,-32.000,172.763031,0.008072,12.904,-8.994,-8.932,0.000000
28.353443,-32.220,174.139557,0.008281,12.904,-8.994,-8.932,0.000000
28.451593,-32.861,149.921967,0.008917,12.904,-8.994,-8.932,0.000000
28.550081,-32.655,-176.373459,0.008709,12.904,-8.994,-8.932,0.000000
28.648903,-32.572,170.775421,0.008628,12.904,-8.994,-8.932,0.000000
28.748075,-33.000,165.518829,0.009066,12.904,-8.994,-8.932,0.000000
28.847589,-33.827,152.285294,0.009973,12.904,-8.994,-8.932,0.000000
28.947449,-34.328,-141.343201,0.010566,12.904,-8.994,-8.932,0.000000
29.047655,-34.316,-31.678022,0.010552,12.904,-8.994,-8.932,0.000000
29.148207,-32.749,-60.809158,0.008810,12.904,-8.994,-8.932,0.000000
29.249100,-31.897,-73.480743,0.007987,12.904,-8.994,-8.932,0.000000
29.350348,-31.868,-82.093727,0.007960,12.904,-8.994,-8.932,0.000000
29.451948,-30.169,-89.841942,0.006546,12.904,-8.994,-8.932,0.000000
29.553900,-28.340,-104.717468,0.005303,12.904,-8.994,-8.932,0.000000
29.656204,-27.453,-106.590652,0.004789,12.904,-8.994,-8.932,0.000000
29.758862,-27.270,-101.303650,0.004690,12.904,-8.994,-8.932,0.000000
29.861876,-26.906,-122.203415,0.004498,12.904,-8.994,-8.932,0.000000
29.965246,-27.076,-139.351013,0.004588,12.904,-8.994,-8.932,0.000000
30.068968,-26.667,-156.464233,0.004377,12.904,-8.994,-8.932,0.000000
30.173054,-26.668,-179.686249,0.004378,12.904,-8.994,-8.932,0.000000
30.277502,-26.698,176.331711,0.004395,12.904,-8.994,-8.932,0.000000
30.382311,-26.619,153.739655,0.004356,12.904,-8.994,-8.932,0.000000
30.487482,-27.352,141.365906,0.004740,12.904,-8.994,-8.932,0.000000
30.593019,-28.528,149.507111,0.005428,12.904,-8.994,-8.932,0.000000
30.698914,-29.137,154.128006,0.005823,12.904,-8.994,-8.932,0.000000
30.805182,-28.245,164.862579,0.005256,12.904,-8.994,-8.932,0.000000
