frequency_hz,spl_db,phase_deg
20.00,-38.35,37.28
20.71,-37.06,-24.77
21.44,-37.88,-96.02
22.20,-36.47,-158.60
22.98,-37.05,103.01
23.79,-38.94,-28.41
24.63,-37.33,50.74
25.50,-42.83,49.61
26.40,-39.33,-8.98
27.33,-31.58,-13.83
28.30,-40.71,-126.42
29.30,-38.55,-16.09
30.33,-39.03,112.64
31.41,-31.36,84.93
32.52,-36.10,-46.34
33.66,-32.08,65.34
34.85,-41.34,-42.46
36.08,-35.43,-77.29
37.36,-31.93,-40.31
38.68,-40.57,77.42
40.04,-34.59,142.37
41.46,-41.49,10.36
42.92,-33.32,-135.54
44.44,-34.12,-74.76
46.01,-34.48,-162.15
47.63,-35.66,-59.34
49.32,-44.59,-23.72
51.06,-33.17,66.78
52.86,-32.39,24.29
54.73,-23.75,-58.56
56.66,-24.62,106.19
58.66,-25.08,-109.86
60.74,-34.20,29.40
62.88,-34.31,95.98
65.10,-31.47,100.95
67.40,-28.42,-87.00
69.78,-30.59,88.91
72.25,-28.85,-133.07
74.80,-30.64,-130.84
77.44,-31.26,95.19
80.18,-35.69,-36.15
83.01,-35.17,59.11
85.94,-33.58,60.75
88.98,-30.22,116.49
92.12,-38.22,-69.56
95.37,-33.59,-31.86
98.74,-31.29,-104.19
102.23,-32.02,50.06
105.84,-27.90,116.26
109.58,-30.25,-5.63
113.45,-29.29,96.28
117.46,-26.08,70.28
121.60,-26.93,-64.29
125.90,-23.54,-38.24
130.35,-22.33,59.21
134.95,-20.85,-165.02
139.72,-24.49,37.61
144.65,-26.99,86.64
149.76,-25.22,-74.16
155.05,-26.75,-82.54
160.53,-28.51,73.07
166.20,-26.09,-20.03
172.07,-29.32,23.74
178.15,-27.25,128.43
184.44,-27.99,100.79
190.95,-29.54,96.64
197.70,-25.40,-25.81
204.68,-26.62,-54.07
211.91,-31.94,24.84
219.40,-30.39,63.98
227.15,-29.40,20.87
235.17,-27.72,-33.23
243.48,-25.13,-95.07
252.08,-27.48,-68.11
260.98,-35.29,112.45
270.20,-27.28,-11.06
279.74,-26.10,9.35
289.62,-24.78,31.12
299.85,-27.90,-93.34
310.44,-32.82,53.38
321.41,-27.63,87.38
332.76,-26.02,4.34
344.52,-27.83,-122.77
356.69,-32.21,106.31
369.28,-30.25,35.12
382.33,-28.51,1.52
395.83,-25.86,58.19
409.81,-23.00,136.22
424.29,-25.37,71.32
439.28,-24.48,10.53
454.79,-28.08,-104.99
470.86,-42.41,-136.83
487.49,-30.58,-108.04
504.71,-33.76,-83.15
522.53,-35.20,15.92
540.99,-33.61,105.49
560.10,-26.30,-147.78
579.88,-23.70,-0.16
600.37,-25.52,64.73
621.57,-22.97,37.83
643.53,-25.26,-168.63
666.26,-21.26,-9.72
689.79,-23.58,98.85
714.16,-23.20,4.46
739.38,-23.52,-45.57
765.50,-27.13,-85.97
792.54,-24.35,33.84
820.53,-30.08,-39.97
849.51,-30.93,-116.98
879.52,-25.05,48.96
910.59,-28.95,-41.85
942.75,-27.38,-52.43
976.05,-35.40,-38.25
1010.53,-31.88,77.69
1046.22,-37.40,89.00
1083.17,-31.46,76.84
1121.43,-30.66,-101.59
1161.04,-33.21,40.20
1202.06,-40.83,-42.06
1244.51,-35.72,-53.94
1288.47,-36.10,64.34
1333.98,-31.75,-1.49
1381.10,-34.78,-6.63
1429.89,-34.02,-108.12
1480.39,-45.11,-79.52
1532.68,-32.49,-40.88
1586.82,-43.46,-78.97
1642.87,-34.76,-46.87
1700.90,-29.76,-78.88
1760.98,-34.69,-27.65
1823.18,-46.89,47.55
1887.58,-50.12,1.15
1954.25,-32.90,-24.44
2023.28,-35.47,-79.06
2094.74,-32.52,141.38
2168.73,-29.95,86.24
2245.33,-30.83,-124.28
2324.64,-28.56,122.47
2406.75,-26.22,-68.74
2491.77,-28.25,-104.51
2579.78,-27.22,77.59
2670.90,-28.70,-85.43
2765.24,-30.87,-48.72
2862.92,-22.57,102.20
2964.04,-24.01,2.82
3068.74,-27.43,72.56
3177.13,-37.02,22.92
3289.35,-29.33,69.61
3405.54,-28.72,70.08
3525.83,-31.46,-2.19
3650.37,-46.15,51.52
3779.30,-35.08,67.63
3912.79,-30.85,94.55
4051.00,-29.88,-6.10
4194.09,-31.19,-79.05
4342.23,-33.90,63.52
4495.61,-25.30,-129.92
4654.40,-25.18,87.47
4818.81,-31.52,84.07
4989.01,-30.50,-0.93
5165.24,-24.01,-38.32
5347.69,-26.66,-99.21
5536.57,-26.24,-60.69
5732.13,-25.68,-18.73
5934.60,-26.57,11.82
6144.23,-36.11,-44.10
6361.25,-28.39,-123.06
6585.94,-31.42,-67.80
6818.57,-26.26,-33.39
7059.42,-27.15,39.42
7308.77,-29.67,22.70
7566.92,-25.80,-36.43
7834.20,-26.19,23.65
8110.92,-30.98,93.99
8397.41,-26.57,133.95
8694.02,-25.37,-64.84
9001.11,-32.19,-1.93
9319.05,-23.44,48.59
9648.21,-28.09,30.18
9989.00,-23.84,-20.62
10341.84,-27.90,-6.47
10707.13,-32.09,-43.93
11085.32,-44.10,58.04
11476.88,-30.87,-12.22
11882.27,-27.85,102.70
12301.97,-29.19,-2.82
12736.49,-27.48,-75.23
13186.38,-33.30,16.93
13652.15,-43.71,54.80
14134.36,-28.49,-30.27
14633.61,-32.24,-145.43
15150.50,-27.42,-33.17
15685.65,-35.05,85.95
16239.69,-35.12,-5.99
16813.29,-29.45,-79.24
17407.18,-32.26,-66.99
18022.04,-35.42,-19.52
18658.60,-31.65,-36.92
19317.65,-30.41,-13.89
19999.99,-42.30,-95.94
