name,year,value
8 - Track,1973,2699600000
8 - Track,1974,2730600000
8 - Track,1975,2656200000
8 - Track,1976,2921600000
8 - Track,1977,3280400000
8 - Track,1978,3564000000
8 - Track,1979,2310400000
8 - Track,1980,1567700000
8 - Track,1981,844000000
8 - Track,1982,91400000
8 - Track,1983,0
8 - Track,1984,0
8 - Track,1985,0
8 - Track,1986,0
8 - Track,1987,0
8 - Track,1988,0
8 - Track,1989,0
8 - Track,1990,0
8 - Track,1991,0
8 - Track,1992,0
8 - Track,1993,0
8 - Track,1994,0
8 - Track,1995,0
8 - Track,1996,0
8 - Track,1997,0
8 - Track,1998,0
8 - Track,1999,0
8 - Track,2000,0
8 - Track,2001,0
8 - Track,2002,0
8 - Track,2003,0
8 - Track,2004,0
8 - Track,2005,0
8 - Track,2006,0
8 - Track,2007,0
8 - Track,2008,0
8 - Track,2009,0
8 - Track,2010,0
8 - Track,2011,0
8 - Track,2012,0
8 - Track,2013,0
8 - Track,2014,0
8 - Track,2015,0
8 - Track,2016,0
8 - Track,2017,0
8 - Track,2018,0
Cassette,1973,419600000
Cassette,1974,433600000
Cassette,1975,450100000
Cassette,1976,627700000
Cassette,1977,1009600000
Cassette,1978,1691000000
Cassette,1979,1960300000
Cassette,1980,2097200000
Cassette,1981,2865900000
Cassette,1982,3516800000
Cassette,1983,4456700000
Cassette,1984,5624100000
Cassette,1985,5493600000
Cassette,1986,5590100000
Cassette,1987,6386300000
Cassette,1988,7014000000
Cassette,1989,6613900000
Cassette,1990,6512300000
Cassette,1991,5434400000
Cassette,1992,5444500000
Cassette,1993,4946200000
Cassette,1994,4922900000
Cassette,1995,3705100000
Cassette,1996,2976600000
Cassette,1997,2325500000
Cassette,1998,2135300000
Cassette,1999,1561900000
Cassette,2000,891100000
Cassette,2001,503000000
Cassette,2002,285900000
Cassette,2003,144000000
Cassette,2004,30800000
Cassette,2005,16400000
Cassette,2006,4500000
Cassette,2007,3500000
Cassette,2008,1000000
Cassette,2009,0
Cassette,2010,0
Cassette,2011,0
Cassette,2012,0
