0,1,ID,greek_letter,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude
101.28708333333333,-15.283888888888889,2491,alf,CMa,6,45,8.9,-16,42,58,-1.46
95.98833333333334,-51.30444444444445,2326,alf,Car,6,23,57.2,-52,41,44,-0.72
213.915,19.1825,5340,alf,Boo,14,15,39.6,19,10,57,-0.05
219.90083333333334,-59.16472222222222,5459,alf1,Cen,14,39,36.2,-60,50,7,-0.01
279.2341666666667,38.78361111111111,7001,alf,Lyr,18,36,56.2,38,47,1,0.03
79.17208333333333,45.99805555555556,1708,alf,Aur,5,16,41.3,45,59,53,0.08
78.63416666666667,-7.798333333333333,1713,bet,Ori,5,14,32.2,-8,12,6,0.13
114.82541666666667,5.2250000000000005,2943,alf,CMi,7,39,18.1,5,13,30,0.37
24.42875,-56.763333333333335,472,alf,Eri,1,37,42.9,-57,14,12,0.46
88.79291666666667,7.406944444444445,2061,alf,Ori,5,55,10.3,7,24,25,0.5
210.95583333333335,-59.62722222222222,5267,bet,Cen,14,3,49.4,-60,22,22,0.61
297.6954166666667,8.868333333333334,7557,alf,Aql,19,50,46.9,8,52,6,0.76
68.97999999999999,16.509166666666665,1457,alf,Tau,4,35,55.2,16,30,33,0.86
247.3516666666667,-25.568055555555553,6134,alf,Sco,16,29,24.4,-26,25,55,0.91
201.29791666666665,-10.838611111111112,5056,alf,Vir,13,25,11.5,-11,9,41,0.97
116.32875,28.02611111111111,2990,bet,Gem,7,45,18.9,28,1,34,1.14
344.4125,-28.377777777777776,8728,alf,PsA,22,57,39,-29,37,20,1.16
191.93041666666667,-58.31138888888889,4853,bet,Cru,12,47,43.3,-59,41,19,1.25
310.3575,45.280277777777776,7924,alf,Cyg,20,41,25.8,45,16,49,1.25
219.90083333333334,-59.16472222222222,5460,alf2,Cen,14,39,36.2,-60,50,7,1.33
152.09291666666667,11.967222222222222,3982,alf,Leo,10,8,22.3,11,58,2,1.35
104.65625,-27.02777777777778,2618,eps,CMa,6,58,37.5,-28,58,20,1.5
113.64958333333333,31.888333333333332,2890,alf,Gem,7,34,35.9,31,53,18,1.58
113.64958333333333,31.888333333333332,2891,alf,Gem,7,34,35.9,31,53,18,1.58
186.64958333333334,-62.901111111111106,4730,alf1,Cru,12,26,35.9,-63,5,56,1.58
187.79125000000002,-56.886944444444445,4763,gam,Cru,12,31,9.9,-57,6,47,1.63
263.4016666666667,-36.896388888888886,6527,lam,Sco,17,33,36.4,-37,6,13,1.63
81.2825,6.349722222222222,1790,gam,Ori,5,25,7.8,6,20,59,1.64
81.57291666666667,28.6075,1791,bet,Tau,5,26,17.5,28,36,27,1.65
84.05291666666666,-0.7980555555555556,1903,eps,Ori,5,36,12.7,-1,12,7,1.69
138.30041666666668,-68.28277777777778,3685,bet,Car,9,13,12.1,-69,43,2,1.69
332.05791666666664,-45.038888888888884,8425,alf,Gru,22,8,13.9,-46,57,40,1.71
193.50708333333336,55.959722222222226,4905,eps,UMa,12,54,1.7,55,57,35,1.77
51.080416666666665,49.86138888888889,1017,alf,Per,3,24,19.3,49,51,41,1.79
165.93166666666667,61.75083333333333,4301,alf,UMa,11,3,43.6,61,45,3,1.79
122.38291666666667,-46.663333333333334,3207,gam2,Vel,8,9,31.9,-47,20,12,1.83
107.09750000000001,-25.606944444444444,2693,del,CMa,7,8,23.4,-26,23,35,1.84
276.04291666666666,-33.61527777777778,6879,eps,Sgr,18,24,10.3,-34,23,5,1.85
125.62833333333333,-58.49055555555555,3307,eps,Car,8,22,30.8,-59,30,34,1.86
206.88458333333335,49.31333333333333,5191,eta,UMa,13,47,32.3,49,18,48,1.86
264.32916666666665,-41.00222222222222,6553,tet,Sco,17,37,19,-42,59,52,1.87
89.88208333333334,44.9475,2088,bet,Aur,5,59,31.7,44,56,51,1.9
99.42791666666668,16.399166666666666,2421,gam,Gem,6,37,42.7,16,23,57,1.92
252.16625,-68.97222222222223,6217,alf,TrA,16,48,39.9,-69,1,40,1.92
306.4116666666667,-55.26472222222222,7790,alf,Pav,20,25,38.8,-56,44,7,1.94
131.17583333333332,-53.291666666666664,3485,del,Vel,8,44,42.2,-54,42,30,1.96
95.67458333333333,-16.04388888888889,2294,bet,CMa,6,22,41.9,-17,57,22,1.97
141.89666666666665,-7.341388888888889,3748,alf,Hya,9,27,35.2,-8,39,31,1.97
239.87541666666664,25.92027777777778,5958,,,15,59,30.1,25,55,13,2
10.897083333333333,-16.013333333333332,188,bet,Cet,0,43,35.3,-17,59,12,2.01
31.79291666666667,23.4625,617,alf,Ari,2,7,10.3,23,27,45,2.01
37.96041666666667,89.26416666666667,424,alf,UMi,2,31,50.5,89,15,51,2.02
283.8158333333334,-25.703333333333333,7121,sig,Sgr,18,55,15.8,-26,17,48,2.03
17.432916666666664,35.620555555555555,337,bet,And,1,9,43.9,35,37,14,2.05
85.18958333333333,-0.05722222222222221,1948,zet,Ori,5,40,45.5,-1,56,34,2.05
211.67,-35.63,5288,tet,Cen,14,6,40.8,-36,22,12,2.05
2.0966666666666667,29.090555555555554,15,alf,And,0,8,23.2,29,5,26,2.06
86.93875,-8.330277777777779,2004,kap,Ori,5,47,45.3,-9,40,11,2.06
263.7333333333333,12.56,6556,alf,Oph,17,34,56,12,33,36,2.07
222.67583333333334,74.15555555555557,5563,bet,UMi,14,50,42.2,74,9,20,2.08
186.65208333333334,-62.900555555555556,4731,alf2,Cru,12,26,36.5,-63,5,58,2.09
340.6666666666667,-45.11527777777778,8636,bet,Gru,22,42,40,-46,53,5,2.11
47.04208333333334,40.95583333333334,936,bet,Per,3,8,10.1,40,57,21,2.12
177.26458333333332,14.571944444444444,4534,bet,Leo,11,49,3.5,14,34,19,2.14
190.37875000000003,-47.04055555555555,4819,gam,Cen,12,41,30.9,-48,57,34,2.17
136.99875,-42.5675,3634,lam,Vel,9,7,59.7,-43,25,57,2.21
269.15125,51.48888888888889,6705,gam,Dra,17,56,36.3,51,29,20,2.22
10.126666666666667,56.5375,168,alf,Cas,0,40,30.4,56,32,15,2.23
305.5566666666667,40.25666666666667,7796,gam,Cyg,20,22,13.6,40,15,24,2.23
83.00125,0.29916666666666664,1852,del,Ori,5,32,0.3,0,17,57,2.24
233.67166666666668,26.71472222222222,5793,alf,CrB,15,34,41.2,26,42,53,2.24
120.89583333333336,-39.996944444444445,3165,zet,Pup,8,3,35,-40,0,11,2.25
139.2725,-58.724722222222226,3699,iot,Car,9,17,5.4,-59,16,31,2.25
30.974583333333328,42.32972222222222,603,gam1,And,2,3,53.9,42,19,47,2.26
2.2941666666666665,59.14972222222222,21,bet,Cas,0,9,10.6,59,8,59,2.27
200.98125,54.92527777777777,5054,zet,UMa,13,23,55.5,54,55,31,2.27
252.54041666666663,-33.70666666666667,6241,eps,Sco,16,50,9.7,-34,17,36,2.29
204.9716666666667,-52.53361111111111,5132,eps,Cen,13,39,53.2,-53,27,59,2.3
220.48208333333332,-46.61194444444445,5469,alf,Lup,14,41,55.7,-47,23,17,2.3
218.87625000000003,-41.842222222222226,5440,eta,Cen,14,35,30.3,-42,9,28,2.31
240.08291666666668,-21.378333333333334,5953,del,Sco,16,0,19.9,-22,37,18,2.32
165.46,56.382222222222225,4295,bet,UMa,11,1,50.4,56,22,56,2.37
6.570833333333334,-41.69388888888889,99,alf,Phe,0,26,17,-42,18,22,2.38
326.04625,9.875,8308,eps,Peg,21,44,11.1,9,52,30,2.39
265.62125,-38.97,6580,kap,Sco,17,42,29.1,-39,1,48,2.41
257.5941666666667,-14.275277777777777,6378,eta,Oph,17,10,22.6,-15,43,29,2.42
345.9433333333333,28.08277777777778,8775,bet,Peg,23,3,46.4,28,4,58,2.42
111.02333333333334,-28.696944444444444,2827,eta,CMa,7,24,5.6,-29,18,11,2.44
178.45749999999998,53.69472222222222,4554,gam,UMa,11,53,49.8,53,41,41,2.44
